date_daily,year,FOMCused,dffr1_tick_wide_scaled,dffr2_tick_wide_scaled,ded2_tick_wide,ded3_tick_wide,ded4_tick_wide,path,path_intra_wide,dffr1_intra_wide,dffr1_intra_wide,DNY2_long,DNY3M,DNY6M,DNY1,DNY2,DNY3,DNY5,DNY10,DNF1,DNF2,DNF3,DNF5,DNF10,DRY2,DRY3,DRY5,DRY10,DRF2,DRF3,DRF5,DRF10,path_m,stratRF3,Dbkeveny2,Dbkeveny3,Dbkeveny5,Dbkeveny10,DIF2,DIF3,DIF5,DIF10
18jul2000,2000,0,.0119165,.0099945,.0149994,.0100021,.0100021,.0123542,.0151524,.0119165,.0119165,-.0098004,.01,.01,-.0180998,,,-.0105,-.0093999,-.0139999,,,-.0221,.0074,,,-.0236998,-.0251999,,,.0007,-.0432999,,0,,,.0132,.0158,,,-.0228,.0506999
19jul2000,2000,0,0,.0051696,-.0049973,-.0050049,-.0049973,.0071417,.0046263,0,0,.0095,.02,.02,.0175996,,,.007,.0092998,.0193,,,.0207,-.0023999,,,.0099001,.0050001,,,.0096998,-.0039999,,0,,,-.0028999,.0043001,,,.0110002,.0016
25jul2000,2000,0,.0050049,-.0086344,-.0100021,-.0049973,-.0049973,-.0012024,.0019306,.0050049,.0050049,-.0063,-.01,-.01,-.0061002,,,-.0074,-.0037003,-.0002003,,,-.0008001,-.0044999,,,-.0085001,-.0052998,,,-.0102,.0023999,,0,,,.0011001,.0016,,,.0093999,-.0068998
26jul2000,2000,0,-.0050049,.0028976,.0049973,.0049973,0,.0031545,.0075387,-.0050049,-.0050049,-.0035,-.02,0,.0013003,,,-.0084,.0018001,-.0044999,,,-.0053,.0250998,,,-.0058999,-.0034001,,,-.0032001,.0016,,0,,,-.0025001,.0051999,,,-.0021,.0234997
01aug2000,2000,0,-.0051717,.0151815,-.0049973,.0050049,0,-.0258393,.0078704,-.0051717,-.0051717,-.0418997,-.02,-.03,-.0047002,,,-.0537,-.0441003,-.0533996,,,-.0414,-.0308003,,,-.0088,-.0077002,,,-.0035,-.0105,,0,,,-.0448999,-.0364001,,,-.0379,-.0203004
02aug2000,2000,0,0,-.0250053,-.0049973,-.0049973,-.0100021,-.0240051,-.0014479,0,0,-.0215001,0,-.04,-.026,,,-.0261998,-.0148001,-.0235004,,,-.0287004,.0206003,,,-.007,-.0165,,,-.0197001,-.017,,0,,,-.0192001,.0016999,,,-.0090003,.0376003
08aug2000,2000,0,-.0067354,-.0002459,-.0100021,-.0099945,-.0149994,-.0151337,-.000299,-.0067354,-.0067354,-.0206003,-.02,-.02,-.0193,,,-.0483999,-.0353999,-.0072999,,,-.0524998,-.0039001,,,-.0041001,.01,,,.0109,.0244999,,0,,,-.0443001,-.0454001,,,-.0633998,-.0283999
09aug2000,2000,0,0,-.0100021,-.0100021,-.015007,-.0149994,.0060894,-.0018605,0,0,.0071001,-.01,0,.0037999,,,-.007,-.0099001,-.0114002,,,-.0239,-.0037999,,,.0146999,-.0029001,,,-.0092001,-.0172999,,0,,,-.0217,-.007,,,-.0146999,.0135
15aug2000,2000,0,0,0,0,0,.0050049,.0085685,.0066857,0,0,.0281,.01,.01,.0163999,,,.0299001,.0232997,.0320997,,,.0222998,.0127001,,,.0134001,.0157001,,,.0159001,.0169001,,0,,,.0165,.0076001,,,.0063996,-.0042
16aug2000,2000,0,-.0103277,.0007123,.0049973,0,0,.0169126,.005618,-.0103277,-.0103277,.0228,-.01,-.02,-.0021,,,.0221,.0317001,.0302,,,.0152001,.0573001,,,.0063,.0063999,,,.0079999,.0098,,0,,,.0158,.0253,,,.0072002,.0475001
22aug2000,2000,1,0,0,.0099945,.0250015,.0250015,.0126884,.014964,0,0,-.0289001,-.02,-.02,-.0030999,,,-.0132003,-.0038996,-.0112,,,.0356998,-.0240998,,,-.0147002,-.0018001,,,-.0077,.0172,.0126884,0,,,.0015,-.0021,,,.0433998,-.0412998
23aug2000,2000,0,0,.0073769,-.0050049,0,0,-.022589,.0064363,0,0,-.0395999,.01,.01,-.0372,,,-.0572,-.0514002,-.0471001,,,-.0727,-.0207,,,.0021999,-.0272,,,-.0573997,-.0288,,0,,,-.0594,-.0242,,,-.0153003,.0081
29aug2000,2000,0,-.0050049,-.0049891,0,.0049973,.0050049,.0175667,.0058397,-.0050049,-.0050049,.0324998,-.01,0,.0345998,,,.0355,.0496001,.0737,,,.0901999,.0048003,,,.0023,.0044,,,.0093999,.0035999,,0,,,.0332001,.0452,,,.0808001,.0012004
30aug2000,2000,0,.0050049,-.0060774,0,-.0049973,.0049973,.0002244,.0055401,.0050049,.0050049,-.0142999,.01,0,-.0159998,,,-.0043001,-.0075002,-.0261998,,,-.0033002,-.0145001,,,.0153,.0128,,,.0056,.0123999,,0,,,-.0196002,-.0202999,,,-.0089002,-.0269001
05sep2000,2000,0,0,0,-.0100021,0,-.0049973,-.0109076,.0035353,0,0,.0057001,0,0,.0053997,,,.0061998,.0012999,.0397997,,,.0228,-.0295,,,.0073001,.0037,,,.0034003,.0046,,0,,,-.0010999,-.0023999,,,.0193996,-.0341001
06sep2000,2000,0,0,0,-.0100021,-.0100021,-.0099945,.0227776,.0013541,0,0,.0116,-.06,-.02,.0225,,,.0331001,.0517001,.0195003,,,.0749002,.0603004,,,.0025001,-.0026999,,,-.0088,-.0044,,0,,,.0306,.0544,,,.0837002,.0647004
12sep2000,2000,0,0,-.0049973,0,0,-.0049973,.0005038,.0044931,0,0,-.0057001,-.02,-.02,.0111003,,,.0058999,.0091,.0082002,,,.0237999,.0072999,,,.0067,-.0033002,,,-.0075002,-.0091,,0,,,-.0008,.0124002,,,.0313001,.0163999
13sep2000,2000,0,0,.0049973,.0049973,-.0049973,-.0049973,.0076822,.0064517,0,0,-.0362997,0,-.02,-.0604,,,-.0465999,-.0339999,-.0448003,,,-.0562,.0037003,,,-.0102,-.0049999,,,.0004001,-.0020001,,0,,,-.0364001,-.029,,,-.0566001,.0057003
19sep2000,2000,0,0,.011105,0,-.0049973,.0049973,.018992,.0079155,0,0,.0235,.02,.01,.0331001,,,-.0079002,-.0173998,.0630999,,,-.0149999,-.0446,,,-.0040998,-.0056,,,-.0082002,-.0028,,0,,,-.0038,-.0118001,,,-.0067997,-.0418
20sep2000,2000,0,0,.0062466,.0100021,.0100021,.0099945,.0159285,.0118463,0,0,.039,-.01,.01,.0267997,,,.0426002,.0401998,.0168004,,,.0197997,.0604,,,.0019999,-.0034001,,,-.0103998,-.0074999,,0,,,.0406001,.0435998,,,.0301995,.0678999
26sep2000,2000,0,.0050049,.0124893,.0049973,-.0049973,.0049973,-.0078419,.0098075,.0050049,.0050049,-.0379,0,-.01,-.0159001,,,-.0302,-.0352001,-.0487003,,,-.0118999,-.0641999,,,-.0086999,-.0074999,,,-.0014,-.0089002,,0,,,-.0215,-.0277002,,,-.0105,-.0552998
27sep2000,2000,0,-.0049973,-.0049973,-.0099945,-.0100021,-.015007,.0040101,-.000906,-.0049973,-.0049973,-.0100002,.02,.04,-.0018001,,,-.0078001,.0281997,-.0110998,,,.0222001,.0915999,,,-.0228002,-.0037,,,.0125999,.0151,,0,,,.015,.0319002,,,.0096002,.0764999
03oct2000,2000,1,0,0,.034996,.0499954,.0650024,.0227776,.0286143,0,0,.0184002,-.03,-.01,.0146003,,,.0300002,.0244999,.0296001,,,.0419998,-.0005002,,,.0011001,.0002,,,-.0011997,.0023,.0227776,0,,,.0289,.0243001,,,.0431995,-.0028002
04oct2000,2000,0,.0057376,.0035166,.0050049,-.0100021,0,.0148317,.0068853,.0057376,.0057376,.0369,0,0,.0186996,,,.0300002,.0113001,.0377998,,,-.0011997,-.0078998,,,-.003,.0009,,,-.0051003,.0117002,,0,,,.033,.0104001,,,.0039005,-.0195999
10oct2000,2000,0,0,-.0099945,-.0149994,-.0100021,-.0100021,.0011087,-.0013724,0,0,-.0145998,.03,.02,-.0077996,,,-.0173001,-.0293002,-.0239,,,-.0310001,-.0430999,,,.0012,.0035999,,,.0113001,-.0028,,0,,,-.0185,-.0329,,,-.0423002,-.0402999
11oct2000,2000,0,.0077457,-.0100021,-.0149994,-.0099945,-.0250015,-.0061029,-.0022056,.0077457,.0077457,-.0345001,-.04,-.03,-.0631003,,,-.0393,-.0205998,-.0436001,,,-.0384998,.0215001,,,-.0079999,-.0084,,,-.0265002,.0142,,0,,,-.0312999,-.0122,,,-.0119996,.0073001
17oct2000,2000,0,0,.0051638,-.0049973,.0050049,-.0049973,-.0213969,.0061612,0,0,-.0759001,.02,-.01,-.0397,,,-.0658998,-.0636001,-.1014004,,,-.0469999,-.0686002,,,-.0347998,-.0298998,,,-.0281999,-.0230999,,0,,,-.0311,-.0337001,,,-.0188,-.0455003
