year,month,ff4_hf,sp500_hf,dbkeven02_d,usstocks1_hf,pc1ff1_hf,pmnegm_ff4sp500,pmposm_ff4sp500,pmnegm_pc1ff1usstocks1,pmposm_pc1ff1usstocks1,gs1,gs10,sven5f5,bkeven05,exp_gdp_12m,exp_cpi_12m,us_cpi,us_ip,logsp500,us_gdpdef,us_rgdp,ebpnew,eureon3m_hf,stoxx50_hf,deurinflswap2y_d,pmnegm_eureon3mstoxx50,pmposm_eureon3mstoxx50,ea_ip_excl_constr,hicp,stoxx50,ea_bbb_oas_all_fred,ea_rgdp,ea_gdpdef,de1y_haver
1989,12,,,,,,,,,,7.7199998,7.8400002,7.8745651,,,,483.866,416.10977,585.36768,417.83862,906.03638,.5686,,,,,,,,,,,,
1990,1,,,,,,,,,,7.9200001,8.21,8.2505474,,2.9000001,4.7766666,484.81165,415.43683,583.05774,418.35065,906.30859,.2929,,,,,,,407.97385,477.09793,,,,8.1400003
1990,2,-.02,-.16664,,-.24072427,.020335654,0,-.02,.020335654,0,8.1099997,8.4700003,8.4727259,,1.7726852,4.2336421,485.20303,416.43433,580.08063,418.72131,907.28851,.42629999,,,,,,,408.24408,475.02612,,,,8.7600002
1990,3,-.02,-.17281,,-.24793869,-.0056694802,0,-.02,0,-.0056694802,8.3500004,8.5900002,8.4923639,,1.8348806,4.3737841,485.67068,416.93298,582.44196,419.10181,907.5141,.45930001,,,,,,,408.47992,476.49942,,,,8.6499996
1990,4,0,0,,0,0,0,0,0,0,8.3999996,8.79,8.7025146,,2.0417142,4.4858141,485.90369,416.81757,582.44385,419.44095,907.40515,.078199998,,,,,,,408.81589,478.99927,,,,8.7399998
1990,5,0,.036899999,,-.0029635481,.0024206729,0,0,.0024206729,0,8.3199997,8.7600002,8.7341633,,2.2061965,4.6016026,486.05872,416.98044,585.91846,419.72092,907.65753,.096000001,,,,,,,409.03366,479.09641,,,,8.6400003
1990,6,0,0,,0,0,0,0,0,0,8.1000004,8.4799995,8.5155525,,2.0576086,4.5264492,486.67648,417.31158,588.71777,420.08542,907.17041,.2115,,,,,,,409.21756,478.72101,,,,8.5500002
1990,7,-.1,.01864,,-.070361622,-.039244581,-.1,0,0,-.039244577,7.9400001,8.4700003,8.6343479,,1.9903846,4.4923077,487.13733,417.19781,588.62048,420.25937,907.87115,.17299999,,,,,,,409.26764,479.36093,,,,8.4499998
1990,8,0,.29183999,,.29482871,.018006468,0,0,0,.018006468,7.7800002,8.75,9.1402216,,1.8398913,4.5213766,487.97672,417.50485,580.13507,420.66367,907.10901,-.1038,,,,,,,409.96637,466.64453,,,,8.8100004
1990,9,0,0,,0,0,0,0,0,0,7.7600002,8.8900003,9.4149837,,1.0093334,4.9386668,488.65826,417.64957,575.49951,420.99152,907.34564,.092399999,,,,,,,410.70963,457.4881,,,,8.79
1990,10,-.029990001,-.64155,,-.84155899,.019242454,0,-.029990001,.019242454,0,7.5500002,8.7200003,9.2306824,,.66847825,5.1972828,489.33521,416.88983,572.72626,421.24316,906.58673,.31510001,,,,,,,411.26755,454.74536,,,,8.6400003
