date,r2y_prem,r3y_prem,r4y_prem,r5y_prem,r6y_prem,r7y_prem,r8y_prem,r9y_prem,r10y_prem,r11y_prem
11/18/2008,1.525086096,2.084743905,2.379049093,2.571305246,2.712971934,2.823145851,2.910647811,2.980336649,3.035299634,3.077791116
11/19/2008,1.456843381,2.031142143,2.334559856,2.529715614,2.670492174,2.778216176,2.863144632,2.9308872,2.984826695,3.027248774
11/20/2008,1.402263428,2.026525708,2.354454036,2.555115645,2.691105853,2.790117183,2.86616404,2.926709301,2.975811724,3.015780956
11/21/2008,1.553198032,2.134690424,2.431415271,2.611190987,2.733886606,2.824558752,2.895216297,2.951998136,2.998174853,3.035628185
11/24/2008,1.481922021,1.954333466,2.203730138,2.367888461,2.490813836,2.588713024,2.668770024,2.734717053,2.788817054,2.832700851
11/25/2008,1.096290298,1.482477628,1.701480028,1.863094336,1.996473908,2.109910492,2.206571146,2.288351015,2.356836505,2.413558583
11/26/2008,0.929039093,1.201962873,1.365777977,1.504937602,1.633672462,1.751335032,1.855952914,1.946689816,2.02383962,2.088442934
12/1/2008,0.678344394,0.879277942,1.006618016,1.133238556,1.263045726,1.388391809,1.503173197,1.604377549,1.691299906,1.764632241
12/2/2008,0.388753364,0.552012948,0.678883366,0.818374518,0.96470579,1.106317213,1.235698859,1.34953064,1.447250065,1.529844994
12/3/2008,0.426071091,0.531273563,0.62240948,0.742083503,0.878625277,1.016133067,1.144275956,1.258083477,1.356124392,1.438990793
12/4/2008,0.571090955,0.608119971,0.646517183,0.728151843,0.838500832,0.958442922,1.07493183,1.181021516,1.273956778,1.353478279
12/5/2008,0.900326891,0.937928244,0.961102027,1.023220963,1.114566853,1.217657299,1.319695832,1.413473064,1.49584652,1.566192281
12/8/2008,1.078540281,1.138772168,1.167440876,1.225510792,1.308483479,1.401915616,1.49455744,1.579862065,1.654877408,1.718940963
12/9/2008,1.112250962,1.202394469,1.241580401,1.300402607,1.379575068,1.467549808,1.554608509,1.634920475,1.705787617,1.766559208
12/10/2008,0.834755998,0.893581516,0.938065693,1.014642222,1.114118,1.221037162,1.324403558,1.418245772,1.500171711,1.569971957
12/11/2008,0.697500124,0.810501691,0.893431913,0.994379055,1.108193763,1.223174939,1.331068909,1.427650035,1.511526822,1.583005981
12/12/2008,0.730290793,0.867252223,0.960530695,1.06441145,1.177414411,1.289979119,1.395027323,1.488913206,1.570480397,1.640085697
12/15/2008,0.622956113,0.752077146,0.845952536,0.953551684,1.071167111,1.188329352,1.297637027,1.395374093,1.480412142,1.553165597
12/16/2008,0.471293073,0.576331236,0.660566579,0.76525565,0.883302699,1.002604775,1.11494172,1.216184768,1.304995847,1.381678612
12/17/2008,0.033688275,0.061104189,0.132306308,0.242668613,0.37154684,0.502945332,0.62765334,0.741407386,0.8429391,0.932621734
12/18/2008,0.18659954,0.293064225,0.392362209,0.502574994,0.6181531,0.731998777,0.839583915,0.938738229,1.028832842,1.110134239
12/19/2008,0.506047458,0.629097145,0.718707995,0.808873296,0.902156538,0.995133153,1.084606921,1.168616336,1.246266945,1.317400146
