year,month,day,FOMCused,DNY3M,DNY6M,DNY1,DNY2,DNY3,DNY5,DNY10,DNF1,DNF2,DNF3,DNF5,DNF10,DRY2,DRY3,DRY5,DRY10,DRF2,DRF3,DRF5,DRF10,stratRF3,Dlsp500,Dbkeveny2,Dbkeveny3,Dbkeveny5,Dbkeveny10,dffr1,dffr2,dedfutbeg2_m,dedfutbeg3,dedfutbeg4
2000,10,3,1,-.03,-.01,.0146003,,,.0300002,.0244999,.0296001,,,.0419998,-.0005002,,,.0011001,.0002,,,-.0011997,.0023,0,-.6825562,,,.0289,.0243001,0,0,.0299988,.03,.03
2000,10,4,0,0,0,.0186996,,,.0300002,.0113001,.0377998,,,-.0011997,-.0078998,,,-.003,.0009,,,-.0051003,.0117002,0,.5494995,,,.033,.0104001,0,0,0,.02,.03
2000,10,10,0,.03,.02,-.0077996,,,-.0173001,-.0293002,-.0239,,,-.0310001,-.0430999,,,.0012,.0035999,,,.0113001,-.0028,0,-1.571594,,,-.0185,-.0329,0,-.01,-.0100021,0,-.01
2000,10,11,0,-.04,-.03,-.0631003,,,-.0393,-.0205998,-.0436001,,,-.0384998,.0215001,,,-.0079999,-.0084,,,-.0265002,.0142,0,-1.630371,,,-.0312999,-.0122,.0155,0,-.0199966,-.04,-.04
2000,10,17,0,.02,-.01,-.0397,,,-.0658998,-.0636001,-.1014004,,,-.0469999,-.0686002,,,-.0347998,-.0298998,,,-.0281999,-.0230999,0,-1.809509,,,-.0311,-.0337001,0,0,-.0400009,-.06,-.07
2000,10,18,0,0,-.01,-.0036001,,,-.0143003,-.006,-.0028996,,,-.0257001,.0236001,,,-.0264001,-.0195,,,-.0271001,-.0057001,0,-.5824585,,,.0121,.0135,0,-.0114815,-.0100021,-.01,-.01
2000,10,24,0,.01,.01,.0311999,,,.0391002,.0426998,.0262003,,,.0500998,.0398002,,,.0102,.0122001,,,.0343001,.0072999,0,.1682129,,,.0288999,.0304999,.01,-.0034783,.0299988,.03,.03
2000,10,25,0,.04,.02,.0606999,,,.0446997,.0463004,.0370998,,,.0591002,.0363998,,,.0102,.0116,,,.0267999,.0053999,0,-2.405396,,,.0345,.0347,.01,-.0055,.0199966,.03,.04
2000,10,31,0,-.01,-.02,-.0127001,,,.0181999,.0408001,-.0531998,,,.0734,.0511999,,,.0110998,.0116999,,,.0156,.0101001,0,2.174072,,,.0071,.0290999,.01,-.009375,-.0199966,-.04,-.04
2000,11,1,0,-.01,-.01,-.0425,,,-.0346999,-.0174003,-.0541,,,-.0162001,.0103002,,,-.0075998,-.0035999,,,.0078001,-.0057001,0,-.5739746,,,-.0271,-.0137999,0,0,-.0299988,-.05,-.06
2000,11,7,0,0,-.02,.0011001,,,.006,-.0019002,.0048003,,,-.0025001,-.0116,,,.0007,.0001001,,,.0010002,-.0002999,0,-.0223389,,,.0053,-.0020001,0,0,0,.01,0
2000,11,8,0,-.01,0,-.0001001,,,-.0063,-.0167999,-.0171003,,,-.0125999,-.0352001,,,.0024998,.0037,,,-.0013001,.0079999,0,-1.59021,,,-.0088,-.0204999,0,0,0,0,0
2000,11,14,0,-.02,-.01,.0057998,,,-.0045004,-.0346999,.0306001,,,-.0526004,-.066,,,-.0016,-.007,,,-.0112,-.0125999,0,2.318115,,,-.0029,-.0276999,0,0,.0200043,.03,.03
2000,11,15,1,.01,0,-.0147996,,,-.0267997,-.0412998,-.0247998,,,-.0418997,-.0620003,,,-.0132999,-.0113001,,,.0036001,-.0173001,0,.494873,,,-.0135,-.03,0,0,0,-.01,-.01
2000,11,21,0,0,-.01,-.0184002,,,-.0136003,-.0282998,.0071001,,,-.0861001,.0031004,,,.0058,-.0009,,,-.0105999,-.0023,0,.3516846,,,-.0194,-.0274,0,0,-.0099945,.01,.01
2000,11,22,0,0,0,-.0141001,,,-.0437999,-.0629001,-.0311003,,,-.0669999,-.0899,,,-.0137999,-.0079,,,-.0006001,-.0079,0,-1.872131,,,-.0300001,-.0549999,0,0,-.0200043,-.04,-.03
2000,11,28,0,-.05,-.05,-.0597,,,-.0611,-.0502996,-.0595999,,,-.0562,-.0225,,,.0018001,.0027001,,,.0049999,-.0029001,0,-.9594116,,,-.0628999,-.053,0,0,-.0500031,-.05,-.06
2000,11,29,0,-.04,-.06,-.0524998,,,-.0517998,-.0265002,-.0576,,,-.0309997,.0204,,,-.0105,-.0116,,,-.0109,-.0107999,0,.4361572,,,-.0413001,-.0149001,-.01,-.0321429,-.0400009,-.05,-.06
2000,12,5,0,-.07,-.06,-.0888,,,-.0893002,-.0830998,-.1170001,,,-.0709,-.0805998,,,.0070999,-.0063999,,,-.0601001,.0115001,0,3.818359,,,-.0964,-.0767,0,-.03875,-.1299973,-.13,-.13
2000,12,6,0,.01,-.03,-.0604,,,-.0999999,-.0931001,-.0984001,,,-.1006999,-.0716,,,-.0221999,-.0048001,,,.0519001,-.0195,0,-1.838745,,,-.0778,-.0883,-.0124,-.05,-.0699997,-.09,-.09
2000,12,12,0,-.02,0,-.0023003,,,-.0064998,-.0104003,.0013003,,,-.0146999,-.0116,,,.0060999,.006,,,.0067,.0063,0,-.6556396,,,-.0126001,-.0164,0,0,0,0,0
2000,12,13,0,0,-.03,-.0636001,,,-.0826998,-.0696998,-.0787001,,,-.0770998,-.0407,,,.0079,-.0058999,,,-.0646,.0160999,0,-.819458,,,-.0906,-.0638,0,-.03,-.0999985,-.12,-.11
2000,12,19,1,-.02,-.01,.0083003,,,.0160999,.0172997,.0247002,,,.0100002,.0285001,,,-.0130999,-.0109999,,,-.0101001,-.0086,0,-1.30426,,,.0292,.0283,.0516667,.01,.0200043,.01,0
2000,12,20,0,-.11,-.11,-.1079001,,,-.0988002,-.0665998,-.1301003,,,-.0547004,-.0246,,,-.0496001,-.0354002,,,-.0223,-.0209,0,-3.179565,,,-.0491999,-.0312001,0,-.0666667,-.1100006,-.12,-.11
2000,12,26,0,.58,.24,.0417004,,,.0158,.0320997,-.0649996,,,.0840001,-.0014,,,-.0016999,-.0039999,,,-.0064001,-.0064001,0,.7050171,,,.0174999,.0361,.02,.02,.0200043,.02,.03
2000,12,27,0,-.1,-.08,.0390997,,,.0716,.0585003,.0755997,,,.0632,.0298004,,,.0230999,.0233998,,,.0243001,.0237,0,1.038574,,,.0485001,.0351,.02,-.0173333,.0499954,.07,.06
2001,1,2,0,-.02,-.12,-.2072997,,,-.217,-.1724,-.2589002,,,-.1672001,-.0941,,,-.1338,-.1064999,,,-.0820999,-.0788999,0,-2.843262,,,-.0832,-.0659,-.0855172,-.095977,-.25,-.24,-.26
2001,1,9,0,.05,.08,.1047997,,,.0625,.0229998,.1110001,,,.0101004,-.0345001,,,.0081999,-.0030999,,,-.0468001,-.0023,0,.3804932,,,.0543001,.0261,.0281818,.1,.1199951,.11,.12
2001,1,10,0,.05,.05,.1041999,,,.0976,.0918999,.1085,,,.0949998,.0707002,,,.0982001,.0567999,,,.0511,.0028,0,.9540405,,,-.0006001,.0351,.0147619,.04,.0800018,.08,.1
2001,1,16,0,.05,.03,-.0040002,,,-.0212998,-.02,-.0016999,,,-.0253,-.0183001,,,.0024002,-.0051999,,,-.003,-.0155001,0,.6124268,,,-.0237,-.0148,.0206667,-.0228046,-.0200043,-.02,-.02
2001,1,17,0,-.02,-.01,-.0360999,,,-.0749002,-.0685,-.0655003,,,-.073,-.0611,,,-.0037,-.0074,,,-.0169001,-.0095,0,.2123413,,,-.0712,-.0611,0,-.0238462,-.0599976,-.07,-.07
2001,1,23,0,.01,.03,.0434999,,,.0625,.0516,.0615997,,,.0556002,.0295997,,,-.03,-.0031002,,,.0144,.0261002,0,1.294739,,,.0925,.0547,0,.0704545,.0799942,.08,.06
2001,1,24,0,.04,.01,.0162001,,,.0334001,.0240002,.0162001,,,.0293999,.0047002,,,-.0036001,.0109,,,.0301001,.0239,0,.2862549,,,.0369999,.0131,-.01,.0063158,.0400009,.05,.04
2001,1,30,0,-.09,-.09,-.0745997,,,-.0886998,-.0953002,-.0456996,,,-.1071,-.0992999,,,-.0132999,-.0003002,,,.0165,.0118001,0,.6983643,,,-.0754,-.095,-.06,-.06,-.0699997,-.1,-.1
2001,1,31,1,-.03,-.12,-.0971999,,,-.0486999,-.0443001,-.1117001,,,-.027,-.0433998,,,-.0875001,-.0504,,,-.0137999,-.0132,0,-.5635376,,,.0388,.0061001,0,-.0281818,-.0599976,-.07,-.12
2001,2,6,0,.01,.01,.0267997,,,.0434003,.0377998,.0429001,,,.0420003,.0226998,,,.0107,.0125,,,.0132,.0143001,0,-.1514893,,,.0326999,.0253,0,.0775,.0299988,.03,.05
2001,2,7,0,0,-.01,-.0144997,,,-.0139003,-.0058999,-.0036001,,,-.0088,.0117998,,,-.0190001,-.0169001,,,-.0153,-.0145001,0,-.8443604,,,.0051,.011,0,-.03,-.0299988,-.04,-.05
