year,month,day,FOMCused,dffr1_tick_wide_scaled,dffr2_tick_wide_scaled,ded2_tick_wide,ded3_tick_wide,ded4_tick_wide,DNY1
1996,7,10,0,-.0147651,-.0350375,-.0200043,-.0300064,-.0299988,-.0514002
1996,7,11,0,0,.0100021,-.0099945,0,.0099945,-.0324998
1996,7,12,0,.0326385,0,.0299988,.0400009,.0400009,-.0325003
1996,7,15,0,0,0,0,-.0100021,-.0100021,.0302
1996,7,16,0,-.0103277,.0199966,.0499954,.0599976,.0599976,-.0209999
1996,7,17,0,-.0332129,.0036903,0,0,0,-.0549998
1996,7,18,0,-.0238512,-.0194124,0,.0099945,.0100021,-.0379
1996,7,19,0,-.0129293,.0025859,.0199966,.0200043,.0200043,.0152998
1996,7,22,0,0,0,0,.0100021,-.0100021,.0250001
1996,7,23,0,0,0,-.0199966,-.0300064,-.0299988,.0402002
