year,month,ff4_hf,sp500_hf,dbkeven02_d,usstocks1_hf,pc1ff1_hf,pmnegm_ff4sp500,pmposm_ff4sp500,pmnegm_pc1ff1usstocks1,pmposm_pc1ff1usstocks1
2014,11,0,0,0,0,0,0,0,0,0
2014,12,-.0049999999,.79782999,-.03579998,.94141877,-.043747995,-.0049999999,0,-.043747995,0
2015,1,0,-.19384,-.027099967,-.2580305,.01167642,0,0,.01167642,0
2015,2,0,0,0,0,0,0,0,0,0
2015,3,-.02,1.49382,-.007600069,1.7373184,-.068805814,-.02,0,-.068805814,0
2015,4,0,.099260002,-.01849997,.038755037,.018226124,0,0,0,.018226124
2015,5,0,0,0,0,0,0,0,0,0
2015,6,-.02,.35392001,.016499996,.38880566,-.017281344,-.02,0,-.017281344,0
2015,7,0,.16123,.01730001,.18959568,.024555879,0,0,0,.024555879
2015,8,0,0,0,0,0,0,0,0,0
2015,9,-.064989999,.15194,.020100057,.15302147,-.088400409,-.064989999,0,-.088400409,0
2015,10,.035,-.70941001,.019299984,-.73350275,.086021431,.035,0,.086021431,0
2015,11,0,0,0,0,0,0,0,0,0
2015,12,.02,.099380001,-.0080999732,.20018718,.051831607,0,.02,0,.051831607
2016,1,-.0049999999,-.36739999,.038800001,-.60720736,.019208621,0,-.0049999999,.019208621,0
2016,2,0,0,0,0,0,0,0,0,0
2016,3,-.055,.24853,.1142,.3114925,-.079717353,-.055,0,-.079717353,0
2016,4,-.0049999999,.23738,.040399909,.20404668,.0066989656,-.0049999999,0,0,.0066989656
2016,5,0,0,0,0,0,0,0,0,0
2016,6,-.02,-.038899999,.0031000376,-.08411406,-.017506687,0,-.02,0,-.017506687
2016,7,-.0049999999,.17276999,-.024299979,.21319823,-.00055687758,-.0049999999,0,-.00055687758,0
2016,8,0,0,0,0,0,0,0,0,0
2016,9,-.0049999999,.28084999,.034800053,.36923739,.016086882,-.0049999999,0,0,.016086882
2016,10,0,0,0,0,0,0,0,0,0
2016,11,0,.083829999,-.049000025,-.0015328977,.010691603,0,0,.010691603,0
2016,12,.0099999998,-.15587001,-.027099967,-.24080797,.066569075,.0099999998,0,.066569075,0
